n,p,T,TCG,IT,ITCG
128,1,0.001080,0.00040,127,0
128,3,0.001120,0.00060,127,0
128,7,0.001680,0.00080,127,0
128,15,0.003660,0.000120,127,0
128,31,0.005780,0.000220,127,0
128,63,0.009740,0.000300,127,0
256,1,0.003920,0.000080,255,0
256,3,0.003640,0.000100,255,0
256,7,0.004800,0.000080,255,0
256,15,0.008920,0.000160,255,0
256,31,0.013350,0.000230,255,0
256,63,0.021440,0.000320,255,0
512,1,0.014700,0.000160,511,0
512,3,0.013420,0.000160,511,0
512,7,0.022020,0.000160,509,0
512,15,0.029980,0.000240,511,0
512,31,0.035400,0.000300,511,0
512,63,0.053700,0.000500,511,0
1024,1,0.062500,0.000200,1023,0
1024,3,0.053600,0.000400,1023,0
1024,7,0.065000,0.000400,1023,0
1024,15,0.111700,0.000500,1023,0
1024,31,0.143400,0.000600,1023,0
1024,63,0.168000,0.000600,1023,0
2048,1,0.227800,0.000600,2047,0
2048,3,0.182400,0.000500,2047,0
2048,7,0.205600,0.000500,2047,0
2048,15,
2048,31,
2048,63,
